sample_type_short	unsupervised	batch_size	dataset_short	cache_percentage	CliqDeg_2	Cliq_2	Coll_2	Rep_2
3HopRnd	False	2000	MAG2_H	2.0	2.714211159594671	1.2423275974543713	1	1.5077920006958436
3HopRnd	False	2000	MAG2_H	4.0	2.5311484929319326	1.3546373418984883	1	1.3576315168671855
3HopRnd	False	8000	CF	10.0	1.228377640203933	1.233953932993445	1	2.157319737800437
3HopRnd	False	8000	CF	20.0	1.4343048808697665	1.44853111265325	1	2.27696815483075
3HopRnd	False	8000	CF	15.0	1.3936234410620894	1.3874212149658038	1	2.3345514281882793
3HopRnd	False	8000	PA	1.0	3.253498276211722	1.0909551815047658	1	1.5409653214358143
3HopRnd	False	8000	PA	10.0	1.665389527458493	1.2077479778629203	1	0.9984390520788988
3HopRnd	False	8000	PA	20.0	1.2196089543780109	1.1731368659676962	1	0.9871068291300652
3HopRnd	False	8000	PA	30.0	1.2168514412416853	1.2177383592017739	1	1.0248337028824834
3HopRnd	False	8000	PA	40.0	1.2438029020556227	1.2462212817412335	1	1.0341596130592503
3HopRnd	False	8000	PA	50.0	1.2361257331929612	1.228906602496616	1	1.0242141675439915
3HopRnd	False	8000	PA_U	1.0	1.944380588437253	1.0466779119583227	1	1.5372512725590004
3HopRnd	False	8000	PA_U	10.0	2.8405021316911414	1.2429180483183324	1	1.5146849834201797
3HopRnd	False	8000	PA_U	20.0	1.5424571153743387	1.3471383530166197	1	1.176508309731203
3HopRnd	False	8000	PA_U	30.0	1.2933297615858559	1.2912938655237074	1	1.0378783819983928
3HopRnd	False	8000	PA_U	40.0	1.287887812009313	1.2830147815258002	1	1.0109913909794792
3HopRnd	False	8000	PA_U	45.0			1	
3HopRnd	False	8000	PR	1.0	0.9920535568497252	1.0022315354052143	1	1.0394600772873237
3HopRnd	False	8000	PR	10.0	1.0828604969673254	1.0056740363920955	1	1.5540990021522207
3HopRnd	False	8000	PR	20.0	1.2196455917742288	1.0835703347188799	1	2.8057317873550645
3HopRnd	False	8000	PR	30.0	1.0667731629392971	1.0392971246006388	1	3.2
3HopRnd	False	8000	PR	40.0	1.1673944687045124	1.1695778748180496	1	2.777656477438137
3HopRnd	False	8000	PR	50.0	1.1868294487606363	1.1912689604143545	1	2.1072881982981873
3HopRnd	False	8000	PR	90.0	1.2385532897268179	1.236244709503655	1	1.0080800307810696
3HopRnd	False	8000	PR	95.0	1.247866563227308	1.248642358417378	1	0.9980605120248255
3HopRnd	False	8000	PR	100.0	1.0023631350925561	0.9996061441512407	1	1.0059078377313904
3HopRnd	False	8000	TW	1.0	1.0932005930946833	1.0589917390383392	1	1.2806608769328531
3HopRnd	False	8000	TW	10.0	1.395046591466405	1.2400686611083866	1	1.4717999019127022
3HopRnd	False	8000	TW	20.0	1.286189683860233	1.2662229617304495	1	1.2113144758735441
3HopRnd	False	8000	TW	30.0	1.1686407219402142	1.1841511562323743	1	1.0420191765369429
3HopRnd	False	8000	TW	40.0	1.1619758759333716	1.1591039632395175	1	0.990235496840896
3HopRnd	False	8000	TW	50.0	1.3986860304287692	1.4097510373443982	1	1.1410788381742738
3HopRnd	False	8000	TW	60.0	1.5433371515845742	1.5395189003436425	1	1.141275295914471
3HopRnd	False	8000	TW	65.0	1.5132809577254023	1.5132809577254023	1	1.1182192293303406
3HopRnd	False	8000	UK	1.0	1.2460396914198222	1.0357458335787055	1	1.1706024380189624
3HopRnd	False	8000	UK	10.0	1.7973367152821815	1.1970830691185796	1	1.5301204819277108
3HopRnd	False	8000	UK	20.0	1.537104622871046	1.2589720194647203	1	1.3740875912408759
3HopRnd	False	8000	UK	30.0	1.1747361887026693	1.2059279950341404	1	1.1239913097454999
3HopRnd	False	8000	UK	35.0	1.1879438219977907	1.194098153700489	1	1.0410288780179895
3HopRnd	True	500	MAG2_H	1.0	1.0279890098093545	1.0358776920599644	1	1.20127890074883
3HopRnd	True	500	MAG2_H	2.0	1.054880291949321	1.0644046970878642	1	1.3594662801477404
3HopRnd	True	500	MAG2_H	4.0	1.1224079721193638	1.1299008930516228	1	1.678495970376824
