       |                                 Optimal                                  |                              Naive                               |                                                                           Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
 83.33 |   65.58=  65.58=max(  65.58,  65.58,  65.58,  65.58)   0.00  0.00  16.73 |   78.70=max(  78.66,  78.64,  78.70,  78.66)   0.00  0.00  10.15 | 13GB  1.00 14.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 85.35 |   67.92=  67.92=max(  67.92,  67.92,  67.92,  67.92)   0.00  0.00  16.99 |   79.58=max(  79.54,  79.52,  79.58,  79.54)   0.00  0.00  10.22 | 13GB  1.00 15.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 87.24 |   70.19=  70.19=max(  70.19,  70.19,  70.19,  70.19)   0.00  0.00  17.05 |   80.46=max(  80.42,  80.40,  80.46,  80.42)   0.00  0.00  10.37 | 13GB  1.00 16.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 89.04 |   72.42=  72.42=max(  72.42,  72.42,  72.42,  72.42)   0.00  0.00  16.48 |   81.34=max(  81.30,  81.28,  81.34,  81.30)   0.00  0.00  10.62 | 13GB  1.00 17.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 90.44 |   74.36=  74.36=max(  74.36,  74.36,  74.36,  74.36)   0.00  0.00  16.43 |   82.22=max(  82.18,  82.16,  82.22,  82.18)   0.00  0.00  10.36 | 13GB  1.00 18.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 91.72 |   76.22=  76.22=max(  76.22,  76.22,  76.22,  76.22)   0.00  0.00  17.33 |   83.10=max(  83.06,  83.04,  83.10,  83.06)   0.00  0.00  10.43 | 13GB  1.00 19.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 92.89 |   78.01=  78.01=max(  78.01,  78.01,  78.01,  78.01)   0.00  0.00  16.35 |   83.98=max(  83.94,  83.91,  83.98,  83.94)   0.00  0.00  10.18 | 13GB  1.00 20.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 94.01 |   79.78=  79.78=max(  79.78,  79.78,  79.78,  79.78)   0.00  0.00  16.45 |   84.86=max(  84.82,  84.79,  84.86,  84.82)   0.00  0.00  10.24 | 13GB  1.00 21.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 95.15 |   81.58=  81.58=max(  81.58,  81.58,  81.58,  81.58)   0.00  0.00  17.03 |   85.74=max(  85.70,  85.67,  85.74,  85.70)   0.00  0.00  10.84 | 13GB  1.00 22.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 96.21 |   83.34=  83.34=max(  83.34,  83.34,  83.34,  83.34)   0.00  0.00  16.99 |   86.62=max(  86.58,  86.55,  86.62,  86.58)   0.00  0.00  10.37 | 13GB  1.00 23.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
