       |                                 Optimal                                  |                              Naive                               |                                                                     Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
100.00 |   42.53=  42.53=max(  42.53,  42.53,  42.53,  42.53)   0.00  0.00   4.44 |   42.53=max(  42.53,  42.53,  42.53,  42.53)   0.00  0.00  10.21 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   42.53=  42.53=max(  42.53,  42.53,  42.53,  42.53)   0.00  0.00   4.56 |   42.53=max(  42.53,  42.53,  42.53,  42.53)   0.00  0.00   2.41 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 45.21 |  668.41= 668.41=max( 668.41, 668.41, 668.41, 668.41)   0.00  0.00   6.11 | 1478.61=max(1478.61,1478.61,1478.61,1478.61)   0.00  0.00   3.12 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 53.13 |  233.38= 233.38=max( 233.38, 233.38, 233.38, 233.38)   0.00  0.00   5.92 |  439.28=max( 439.28, 439.28, 439.28, 439.28)   0.00  0.00   9.58 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 45.83 |   69.64=  69.64=max(  69.64,  69.64,  69.64,  69.64)   0.00  0.00   5.97 |  151.94=max( 151.94, 151.94, 151.94, 151.94)   0.00  0.00  10.68 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   67.03=  67.03=max(  67.03,  67.03,  67.03,  67.03)   0.00  0.00   6.06 |   67.03=max(  67.03,  67.03,  67.03,  67.03)   0.00  0.00   2.48 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 46.71 |  488.43= 488.43=max( 488.43, 488.43, 488.43, 488.43)   0.00  0.00   5.71 | 1045.60=max(1045.60,1045.60,1045.60,1045.60)   0.00  0.00   5.14 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 66.23 |  158.05= 158.05=max( 158.05, 158.05, 158.05, 158.05)   0.00  0.00   5.81 |  238.64=max( 238.64, 238.64, 238.64, 238.64)   0.00  0.00   6.46 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 75.84 |   62.22=  62.22=max(  62.22,  62.22,  62.22,  62.22)   0.00  0.00   5.67 |   82.05=max(  82.05,  82.05,  82.05,  82.05)   0.00  0.00   3.40 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   61.73=  61.73=max(  61.73,  61.73,  61.73,  61.73)   0.00  0.00   5.67 |   61.73=max(  61.73,  61.73,  61.73,  61.73)   0.00  0.00   2.47 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
